1,1688
2,1736
3,1474
4,1770
5,1348
6,1570
7,1861
8,1458
9,2282
10,1553
11,2323
12,1202
13,1768
14,2184
15,1329
16,1781
17,1242
18,1286
19,1454
20,1501
21,875
22,1521
23,2611
24,1948
25,1707
26,1335
27,2211
28,1358
29,2501
30,1764
31,1527
32,1421
33,1949
34,2156
35,1503
36,1658
37,1032
38,1536
39,1345
40,2022
41,2035
42,2109
43,1587
44,1666
45,1064
46,1457
47,2399
48,1449
49,2406
50,1831
51,1423
52,1754
53,1641
54,1428
55,1928
56,1618
57,1361
58,1273
59,1300
60,997
61,1163
62,1480
63,2131
64,1833
65,1161
66,1168
67,1570
68,1675
69,966
70,1395
71,1638
72,1713
73,1799
74,1917
75,1894
76,1009
77,1003
78,1962
79,1730
80,731
81,2166
82,1059
83,1520
84,1708
85,1227
86,1085
87,1045
88,1720
89,1495
90,960
91,1420
92,1318
93,740
94,878
95,1357
96,2318
97,1544
98,1583
99,1693
100,1153
101,1469
102,2004
103,1114
104,1281
105,1500
106,1409
107,942
108,792
109,704
110,1584
111,1004
112,795
113,1000
114,2156
115,639
116,1391
117,1644
118,1398
119,967
120,1578
121,1068
122,1419
123,1784
124,1952
125,996
126,1485
127,1419
128,1534
129,1633
130,1013
131,2085
132,3102
133,1859
134,983
135,2169
136,2086
137,2204
138,1578
139,1526
140,1725
141,936
142,1678
143,1573
144,1187
145,1535
146,1333
147,1701
148,1925
149,1651
150,1491
151,1800
152,1976
153,1246
154,2141
155,1351
156,1505
157,1377
158,2386
159,1304
160,1424
161,1881
162,2393
163,1599
164,1444
165,1985
166,1158
167,2098
168,1540
169,1410
170,2115
171,1278
172,2039
173,2021
174,1901
175,1139
176,1903
177,2074
178,3661
179,1799
180,2431
181,1499
182,1040
183,1825
184,1733
185,1727
186,1076
187,1598
188,1146
189,1534
190,1514
191,1540
192,1445
193,1248
194,1710
195,2114
196,1816
197,1759
198,2173
199,1791
200,1710
201,1930
202,1803
203,1879
204,2289
205,1839
206,1641
207,1374
208,1524
209,1360
210,1303
211,1654
212,1928
213,1558
214,1736
215,1752
216,1042
217,1201
218,1498
219,2101
220,2389
221,1326
222,1285
223,1413
224,1970
225,1242
226,1920
227,1163
228,1651
229,1300
230,1850
231,1799
232,1703
233,1627
234,1522
235,1409
236,2631
237,1647
238,1536
239,1433
240,1749
241,1274
242,1658
243,1579
244,1607
245,1382
246,1322
247,1168
248,1067
249,1890
250,1659
251,1064
252,868
253,1288
254,2166
255,1382
256,1417
257,2018
258,1777
259,1596
260,1420
261,1324
262,1899
263,1513
264,1683
265,1369
266,1266
267,1034
268,2045
269,1498
270,1607
271,1331
272,1132
273,1238
274,2298
275,1241
276,2039
277,1177
278,1220
279,1746
280,1917
281,1165
282,860
283,1830
284,1170
285,1229
286,1274
287,1900
288,1867
289,1610
290,1963
291,1669
292,1291
293,1751
294,1335
295,1323
296,1652
297,2086
298,1437
299,1731
300,1950
301,2203
302,2260
303,1580
304,1562
305,1860
306,1793
307,1000
308,1912
309,2475
310,2105
311,1732
312,2309
313,1874
314,1816
315,1097
316,2015
317,2241
318,2772
319,1320
320,2738
321,1389
322,2251
323,2167
324,2028
325,1590
326,2341
327,2011
328,1613
